iter,step,seg,loss,gn_cum,indep_gn
1,5,cq,1.9284,77.8501,17.3168
1,5,ans_final,1.6739,78.1454,4.4439
1,5,ans_first,1.9083,78.4138,4.9299
1,5,cq,1.6108,84.0447,17.9504
1,5,ans_final,1.3472,84.3502,4.5822
1,5,ans_first,1.4954,84.4529,5.8318
1,5,cq,2.2896,96.5243,23.2993
1,5,ans_final,1.6493,96.7263,4.5242
1,6,ans_first,1.9667,5.1792,5.1792
1,6,cq,0.3710,13.1552,12.3445
1,6,ans_final,1.5301,13.3368,3.5083
1,6,ans_first,1.7738,14.1216,4.6873
1,6,cq,2.5129,38.4868,34.4132
1,6,ans_final,1.7133,38.6181,4.6977
1,6,ans_first,1.3546,39.1662,5.5218
1,6,cq,3.1475,43.9033,17.6924
1,6,ans_final,1.4820,44.1051,4.4604
1,6,ans_first,1.5855,44.3298,4.2783
1,6,cq,1.2131,47.4535,10.9591
1,6,ans_final,1.4613,47.6992,4.1375
1,6,ans_first,2.0183,48.0465,5.3895
1,6,cq,1.2438,52.5207,15.8141
1,6,ans_final,1.7156,52.9725,5.6559
1,6,ans_first,1.6791,53.0443,3.9472
1,6,cq,1.2347,55.2133,16.8484
1,6,ans_final,1.6697,55.8441,6.3023
1,6,ans_first,1.6187,56.0570,5.5023
1,6,cq,0.3305,59.9704,11.8832
1,6,ans_final,1.5000,60.4735,4.5838
1,6,ans_first,1.8627,61.3474,8.0400
1,6,cq,2.0626,68.4668,23.7493
1,6,ans_final,1.7274,69.0964,5.4922
1,7,ans_first,1.5293,8.8261,8.8261
1,7,cq,2.3783,26.7419,25.1571
1,7,ans_final,1.5097,27.3171,6.3670
1,7,ans_first,2.1789,28.3924,8.3979
1,7,cq,2.1152,35.1156,21.5044
1,7,ans_final,1.7182,35.7069,5.6610
1,7,ans_first,2.1648,36.5461,6.4508
1,7,cq,1.8352,42.5173,18.4528
1,7,ans_final,1.5802,42.9123,3.9037
1,7,ans_first,1.9639,43.5521,6.0458
1,7,cq,1.8408,48.8259,19.3892
1,7,ans_final,1.7987,49.4603,4.8568
1,7,ans_first,1.5516,49.7727,6.4880
1,7,cq,1.0512,63.6865,27.5406
1,7,ans_final,1.5312,64.0698,5.1751
1,7,ans_first,1.5084,64.6776,7.8881
1,7,cq,2.5105,76.8346,26.7159
1,7,ans_final,1.5944,77.2722,3.7060
1,7,ans_first,1.9405,77.3561,4.7439
1,7,cq,2.4114,84.9374,21.5491
1,7,ans_final,2.0268,85.5360,7.2051
1,7,ans_first,1.6587,85.9302,6.0585
1,7,cq,1.9841,91.6802,18.7171
1,7,ans_final,1.4446,91.9586,5.0594
1,8,ans_first,1.3565,4.3113,4.3113
1,8,cq,1.4856,16.2063,15.6944
1,8,ans_final,1.4716,17.4455,5.4875
1,8,ans_first,2.1942,17.9742,4.5287
1,8,cq,2.2205,30.2003,21.9523
1,8,ans_final,1.6861,30.9213,4.7418
1,8,ans_first,2.4539,31.6397,5.4231
1,8,cq,1.6661,34.7931,14.2772
1,8,ans_final,1.2314,35.3577,4.3058
1,8,ans_first,2.0682,36.2988,5.8465
1,8,cq,1.3565,41.2098,20.8029
1,8,ans_final,1.5398,41.9205,5.0629
1,8,ans_first,1.8304,42.5519,5.3820
1,8,cq,0.8156,47.5359,16.5685
1,8,ans_final,1.6239,48.0747,4.0962
1,8,ans_first,1.7744,48.2056,6.1840
1,8,cq,3.3746,53.6443,22.4101
1,8,ans_final,1.8825,54.3631,5.2037
1,8,ans_first,1.4585,54.6943,4.4972
1,8,cq,2.1841,63.1065,25.0826
1,8,ans_final,1.8444,64.1674,6.4235
1,8,ans_first,1.6748,64.6026,7.5594
1,8,cq,0.5609,69.5378,16.0711
